xh,jyzk
2012210537,1
2012210557,1
2012214555,1
2012214554,1
2012211297,1
2012212749,1
2012214467,1
2012211389,1
2012212661,1
2012213369,1
2012211393,1
2012214700,1
2012213556,1
2012213605,1
2012211397,1
2012211398,1
2012211399,1
2012211401,1
2012211402,1
2012212415,1
2012211404,1
2012211405,1
2012215294,1
2012212590,1
2012211196,1
2012211409,1
2012211476,1
2012211412,0
2012211414,1
2012211415,0
2012211416,1
2012211417,1
2012211418,1
2012211419,1
2012214408,1
2012211422,1
2012212807,1
2012211424,1
2012210788,1
2012211426,1
2012211427,1
2012211428,1
2012211429,1
2012211430,0
2012211431,1
2012212152,1
2012211433,1
2012211435,1
2012211436,1
2012211882,1
2012215929,1
2012211439,1
2012211440,1
2012211441,1
2012211442,1
2012211443,1
2012211444,1
2012210588,1
2012211446,1
2012211447,1
2012211449,1
2012212583,1
2012211451,1
2012211452,1
2012211453,0
2012211454,1
2012211455,0
2012210352,1
2012214266,1
2012213039,1
2012211461,1
2012211462,0
2012211463,1
2012211464,1
2012213054,1
2012213960,1
2012211467,1
2012211468,0
2012211469,1
2012211470,1
2012211471,1
2012211472,1
2012214666,1
2012211474,1
2012211475,1
2012215043,1
2012214919,1
2012211478,1
2012211479,1
2012211480,1
2012215343,1
2012211482,1
2012212450,1
2012211484,1
2012213570,1
2012211486,1
2012211487,1
2012211488,1
2012211489,1
2012211490,0
2012211217,1
2012211063,1
2012213552,1
2012213374,1
2012213371,1
2012211496,0
2012211497,0
2012213925,1
2012211499,1
2012211500,1
2012211501,1
2012214792,1
2012214803,1
2012214374,1
2012211505,0
2012211145,1
2012211508,1
2012214805,1
2012211510,1
2012211511,1
2012211120,1
2012211014,1
2012211514,1
2012211515,0
2012215142,1
2012213793,1
2012211519,1
2012211520,1
2012213604,1
2012211522,1
2012213848,1
2012211039,1
2012214567,1
2012210770,1
2012214293,1
2012214556,1
2012211200,1
2012211530,1
2012211531,1
2012211532,1
2012211527,1
2012211927,1
2012215935,1
2012214257,1
2012211538,1
2012211569,1
2012212481,1
2012214708,1
2012211542,1
2012215308,1
2012211544,1
2012211545,1
2012212937,1
2012214031,1
2012211548,1
2012211549,1
2012211550,1
2012211553,0
2012211555,1
2012211556,1
2012214965,1
2012211559,0
2012211560,0
2012211561,1
2012211562,1
2012211021,1
2012211565,1
2012211566,1
2012213380,1
2012211568,1
2012214566,1
2012211571,1
2012211317,1
2012211573,1
2012214834,1
2012214912,1
2012210731,1
2012211577,0
2012211578,1
2012211579,1
2012211581,1
2012211583,1
2012211584,1
2012211585,1
2012211586,1
2012211626,1
2012211588,1
2012211590,1
2012210774,1
2012211957,1
2012212001,1
2012213577,1
2012213292,1
2012211597,1
2012215960,1
2012214067,1
2012211601,1
2012211602,1
2012212544,1
2012212936,1
2012210875,1
2012215072,1
2012211607,1
2012211608,1
2012212110,1
2012211611,1
2012211612,1
2012211613,1
2012211614,1
2012213645,1
2012211616,1
2012213687,1
2012211618,0
2012211619,1
2012211620,1
2012213706,1
2012213862,1
2012211624,1
2012214368,1
2012214500,1
2012211627,1
2012211628,1
2012210298,1
2012211630,1
2012211631,0
2012213412,1
2012214313,1
2012211634,1
2012211635,1
2012215533,1
2012215137,1
2012211638,1
2012211639,1
2012214560,1
2012211642,1
2012211643,1
2012211644,1
2012211645,1
2012214888,1
2012211485,1
2012212508,1
2012211650,1
2012211651,1
2012211654,1
2012211657,1
2012211659,1
2012211660,1
2012211661,1
2012213334,1
2012213389,1
2012211664,1
2012211665,1
2012213394,1
2012211667,0
2012211668,1
2012211669,1
2012213409,1
2012211671,1
2012211672,1
2012213588,1
2012211675,1
2012211676,1
2012211677,0
2012211678,1
2012211680,0
2012211681,1
2012213592,1
2012213600,1
2012213719,1
2012214243,1
2012215354,0
2012214393,1
2012214397,1
2012210078,1
2012210277,1
2012214448,1
2012215075,1
2012210429,1
2012210506,1
2012210676,1
2012210692,0
2012211185,1
2012211223,1
2012212392,1
2012212693,1
2012212219,1
2012213356,1
2012212382,1
2012210061,1
2012212384,1
2012214225,1
2012214262,1
2012212387,0
2012214594,1
2012212389,0
2012211274,1
2012212391,0
2012212393,1
2012213422,1
2012212395,1
2012213499,1
2012213547,1
2012212398,0
2012212399,1
2012212400,1
2012213731,1
2012212402,1
2012213741,1
2012211321,1
2012212405,1
2012210554,1
2012213646,1
2012212408,1
2012212409,1
2012213391,1
2012215313,1
2012212412,1
2012215650,1
2012211748,1
2012215278,1
2012212419,0
2012212421,0
2012212422,0
2012210652,1
2012210008,1
2012210027,1
2012214686,1
2012212427,0
2012212428,1
2012212429,1
2012212430,1
2012212431,0
2012212432,0
2012215289,1
2012212434,1
2012212436,0
2012210651,1
2012214647,1
2012214131,1
2012211080,1
2012212441,1
2012214121,1
2012210353,1
2012210458,1
2012212445,1
2012212446,1
2012212447,1
2012212448,1
2012210908,1
2012215676,1
2012212452,0
2012212453,0
2012212455,1
2012212456,0
2012212457,0
2012212458,1
2012212459,1
2012214269,1
2012212461,1
2012214548,1
2012212464,0
2012212465,1
2012212466,1
2012212467,1
